time,ax,ay,az,aT
4.6910,-1.1794,-1.1902,-1.0182,1.961
4.6920,-0.9579,-1.5465,-2.0694,2.755
4.6950,-0.9275,-1.5901,-2.9820,3.504
4.6970,-1.0646,-1.7572,-4.2073,4.682
4.6990,-0.8262,-1.8935,-5.3292,5.716
4.7000,-0.8711,-1.9246,-6.3478,6.690
4.7050,-0.6790,-1.9711,-6.9902,7.295
4.7160,-0.7698,-1.9798,-7.3427,7.644
4.7250,-0.6804,-2.2932,-7.7221,8.084
4.7400,-0.1765,-2.0101,-8.2015,8.446
4.7450,0.4896,-1.4938,-8.2843,8.432
4.7540,0.7372,-1.0700,-7.3821,7.496
4.7660,0.1866,-1.2364,-5.7563,5.891
4.7810,-0.3543,-1.5751,-3.4747,3.831
4.7850,-1.7514,-1.7494,-1.0984,2.708
4.7940,-2.2453,-1.7243,-0.1562,2.835
4.8040,-1.1008,-0.9696,-0.0409,1.468
4.8230,0.2784,-0.1851,-1.2154,1.261
4.8240,1.3228,0.1591,-2.8593,3.154
4.8990,1.5186,0.3502,-3.3837,3.725
4.9010,1.5508,0.7315,-2.0363,2.662
4.9050,1.0914,1.4058,2.4467,3.026
4.9070,-0.0440,2.5625,7.9456,8.349
4.9080,-1.1812,3.0121,10.2708,10.768
4.9090,-1.7706,3.0416,10.2330,10.821
4.9110,-2.0658,2.5703,10.2125,10.732
4.9130,-1.9748,2.0027,10.2131,10.593
4.9150,-1.5602,1.6410,10.2330,10.481
4.9230,-1.5412,1.4399,8.3769,8.638
4.9350,-1.5809,1.4667,6.0636,6.436
4.9430,-1.4647,1.4622,3.6591,4.204
4.9640,-1.1934,1.8829,1.1789,2.522
4.9650,-0.8429,2.0773,-0.3676,2.272
4.9730,-0.3140,1.7174,-0.7025,1.882
4.9830,0.1538,1.3295,0.6261,1.478
4.9930,0.6283,0.8808,2.4504,2.679
5.0030,1.1133,0.8726,3.5155,3.789
5.0130,1.0856,0.7853,3.8664,4.092
5.0240,0.8345,0.2726,2.5864,2.731
5.0380,0.2583,-0.2021,0.7644,0.832
5.0430,0.0469,-0.0749,-1.0606,1.064
5.0590,-0.1611,0.1675,-2.7137,2.724
5.0640,-0.2350,0.0355,-4.8679,4.874
5.0750,-0.0573,-0.2777,-6.4158,6.422
5.0830,0.2361,-0.5827,-7.6711,7.697
5.0930,0.5617,-0.6778,-8.4600,8.506
5.1020,0.8094,-1.0080,-8.8604,8.954
5.1130,0.9864,-1.4172,-9.1748,9.336
5.1230,1.4861,-1.6004,-9.1007,9.359
5.1320,1.8773,-1.6017,-8.1061,8.473
5.1420,2.2060,-1.5393,-6.6913,7.212
5.1570,2.0378,-1.6614,-6.5048,7.016
5.1820,1.4501,-2.0454,-6.5854,7.047
5.1850,0.9872,-2.3525,-6.8785,7.336
5.1870,0.5288,-2.4324,-7.4067,7.814
5.1920,0.2941,-2.6523,-7.7209,8.169
5.2030,0.1720,-2.4518,-8.1223,8.486
5.2120,0.1328,-2.3570,-8.6205,8.938
5.2230,0.3324,-1.9310,-8.2706,8.500
5.2460,0.6269,-1.7315,-7.3818,7.608
5.2490,0.9117,-1.7695,-5.5392,5.886
5.2530,0.6400,-1.8569,-4.7691,5.158
5.2810,0.8641,-1.4228,-2.7653,3.228
5.2830,0.5261,-0.7112,-1.3823,1.641
5.2860,0.3107,0.0732,-0.3603,0.481
5.2910,0.1305,0.7019,0.3918,0.814
5.3020,-0.1893,0.7351,1.1718,1.396
5.3130,0.0507,0.9249,2.5103,2.676
5.3210,0.6135,1.3926,4.5445,4.792
5.3310,1.1622,1.5741,6.7909,7.067
5.3410,1.4866,1.4140,9.0728,9.302
5.3550,1.5991,1.4336,10.3929,10.612
5.3920,1.3837,1.5022,10.3580,10.557
5.3950,1.2846,1.5061,10.3319,10.520
