time,ax,ay,az,aT
3.1480,-0.8009,-0.6707,-1.4681,1.802
3.1490,-0.7502,-0.6934,-0.6553,1.214
3.1590,-0.4992,-0.7457,-0.0116,0.897
3.1680,-0.2580,-0.6209,0.6236,0.917
3.1780,-0.0795,-0.5034,1.2744,1.373
3.2370,0.0329,-0.3984,1.9988,2.038
3.2480,0.1766,-0.2691,2.6779,2.697
3.2510,0.3260,-0.1156,3.2431,3.261
3.2520,0.3025,-0.0822,3.4675,3.482
3.2540,-0.1187,-0.3324,3.2489,3.268
3.2570,-0.9827,-0.8042,2.8384,3.110
3.2590,-1.9053,-1.2413,2.6828,3.517
3.2610,-2.4790,-1.3409,2.5370,3.792
3.2680,-2.3952,-0.9964,2.7045,3.748
3.2770,-1.6117,-0.5071,3.1895,3.609
3.3070,-0.3279,0.1449,3.7707,3.788
3.3090,0.8627,0.7038,4.2443,4.388
3.3130,1.5325,0.7713,4.6625,4.968
3.3170,1.7049,0.0092,4.2987,4.624
3.3370,1.5450,-0.4147,3.4758,3.826
3.3380,1.4832,-0.5900,2.5441,3.003
3.3470,1.4221,-0.5815,1.7537,2.331
3.3570,1.2619,-0.4281,1.2077,1.798
3.3670,0.8852,-0.1458,0.7859,1.193
3.3770,0.2140,0.0536,0.3378,0.403
3.4030,-0.4901,0.2711,-0.0319,0.561
3.4050,-1.0755,0.4897,-0.5021,1.284
3.4060,-1.6349,0.6884,-1.1188,2.097
3.4170,-2.0938,0.8593,-1.7774,2.878
3.4340,-2.4035,0.9648,-2.5161,3.611
3.4370,-2.5068,0.9913,-3.2356,4.211
3.4470,-2.4114,0.9080,-3.8471,4.630
3.4570,-2.0993,0.7290,-4.3507,4.885
3.4670,-1.6742,0.6084,-4.7473,5.071
3.4770,-1.0683,0.5404,-5.0930,5.232
3.5060,-0.5198,0.4200,-5.2015,5.244
3.5070,-0.0903,0.2656,-5.2289,5.236
3.5090,0.2331,0.1517,-5.1465,5.154
3.5160,0.5323,0.1017,-4.9327,4.962
3.5340,0.7026,0.1334,-4.6015,4.657
3.5360,0.7921,0.1934,-4.4100,4.485
3.5460,0.7927,0.2310,-4.3183,4.397
3.5560,0.7745,0.2356,-4.1848,4.262
3.5660,0.6833,0.2475,-4.0571,4.122
3.5760,0.6213,0.2730,-3.7826,3.843
3.5870,0.6001,0.3509,-3.4039,3.474
3.6230,0.5654,0.4689,-3.0855,3.172
3.6270,0.5768,0.6366,-2.7857,2.915
